Author,Resort,Count,Role
Beirut Rewert,international,1,Unknown
Beirut Rewert Hoffer,international,2,Unknown
Beirut Samuel Misteli,international,2,Unknown
Beit Lahiya,international,1,Unknown
Benedict Neff,meinung,18,International
Benedikt Koller,sport,30,Sport
Benjamin Steffen,sport,1,Unknown
Benjamin Triebe,wirtschaft,73,Wirtschaft
Bernadette Conrad,feuilleton,1,Unknown
Bernd Noack,feuilleton,19,Unknown
Bernd Roeck,pro,1,Unknown
Bernhard Lauterburg,schweiz,1,Unknown
Bertram Job,sport,9,Unknown
Bettina Rühl,international,11,Unknown
Birgit Püve,international,1,Unknown
Birgit Schmid,feuilleton,61,Feuilleton
Birrer Dominic Wirth,sport,1,Unknown
Birte Mensing,international,5,Unknown
Björn Hayer,feuilleton,2,Unknown
Björn Heissenberger,meinung,1,Unknown
Botakoz Kassymbekova,meinung,1,Unknown
Brigitte Wenger,sport,9,Unknown
Bruno S. Frey,meinung,3,Unknown
Béatrice Acklin Zimmermann,meinung,1,Unknown
Bülent Mumay,meinung,1,Unknown
Carl Baudenbacher,meinung,1,Unknown
Carl Bossard,meinung,1,Unknown
Carlo Mariani,panorama,17,Unknown
Carlott Bru,wissenschaft,1,Unknown
Carole Koch,nzz-am-sonntag-magazin,3,Magazin / Bellevue / Z
Carolina Drüten,international,8,Unknown
Caroline Dettling,Unspecified,1,Unknown
Carolyn Kissane,meinung,1,Unknown
Catalin Dorian Florescu,zuerich,1,Unknown
Catherine Bosley,pro,8,Unknown
Chaim Noll,feuilleton,4,Unknown
Chanchal Biswas,wirtschaft,3,Wirtschaft
Charles Ferguson,meinung,1,Unknown
Charlotte Theile,nzz-am-sonntag-magazin,1,Unknown
Chelsey Dulaney,international,1,Unknown
Chip Cutter,wirtschaft,1,Unknown
Chrisa Wilkens,wissenschaft,1,Unknown
Christian Bidermann,meinung,1,Unknown
Christian Bretscher,meinung,1,Unknown
Christian Chladny,report-und-debatte,1,Unknown
Christian Gasser,feuilleton,5,Unknown
Christian J. Meier,wissenschaft,2,Unknown
Christian Koller,nzz-am-sonntag,1,Unknown
Christian Merz,feuilleton,1,Unknown
Christian Osthold,meinung,2,Unknown
Christian Putsch,international,4,Unknown
Christian R. Ulbrich,meinung,1,Unknown
Christian Schreiber,reisen,2,Unknown
Christian Schwägerl,wissenschaft,1,Unknown
Christian Speicher,wissenschaft,43,Wissenschaft
Christian Weisflog,international,166,Unknown
Christian Weymayr,wissenschaft,2,Unknown
Christian Wildhagen,feuilleton,49,Feuilleton
Christian Wolf,wissenschaft,1,Unknown
Christiane Hanna Henkel,meinung,1,Wissenschaft
Christin Severin,wirtschaft,21,Wirtschaft
Christina Neuhaus,schweiz,101,Schweiz
Christine Brinck,feuilleton,8,Unknown
Christine Le Pape Racin,meinung,1,Unknown
Christine Longin,international,11,Unknown
Christine Steffen,sport,34,Sport
Christof Krapf,sport,70,Sport
Christoph A. Schaltegger,meinung,1,Unknown
Christoph Brumme,meinung,1,Unknown
Christoph Egger,feuilleton,1,Unknown
Christoph Eisenring,meinung,1,Unknown
Christoph Forsthoff,feuilleton,3,Unknown
Christoph Held,feuilleton,1,Unknown
Christoph Schütz,nzz-am-sonntag,1,Unknown
Christoph Zürcher,nzz-am-sonntag,2,Mitglieder Chefredaktion
Cian Jochem,wissenschaft,5,Visuals & Tech
Clara Ott,wissenschaft,3,Unknown
Clarita Kunz Matossi,meinung,1,Unknown
Claude Meier,meinung,1,Unknown
Claudia Franziska Brühwiler,meinung,2,Unknown
Claudia Füssler,wissenschaft,1,Unknown
Claudia Füßler,wissenschaft,1,Unknown
Claudia Mäder,feuilleton,3,Redaktion
Claudia Rey,zuerich,39,Zürich
Claudia Schwartz,feuilleton,14,Meinung und Debatte
Claus Peter Simon,wissenschaft,4,Unknown
Claus Schweitzer,reisen,4,Unknown
Clemens Klünemann,feuilleton,5,Unknown
Colm Tóibín,feuilleton,1,Unknown
Como Pieter Slembrouck,sport,1,Unknown
Conor Feehly,wissenschaft,1,Unknown
Cord Aschenbrenner,feuilleton,1,Unknown
Corina Gall,schweiz,5,Nachrichten
Corina Gredig,meinung,1,Unknown
Corina Kolbe,feuilleton,4,Unknown
Cyrus Schayegh,meinung,1,Unknown
Dagmar Fenner,meinung,1,Unknown
Dagmar Rösler,meinung,1,Unknown
Dagmar Schediwy,wissenschaft,1,Unknown
Damiano Canapa,meinung,1,Unknown
Damita Pressl,pro,6,Unknown
Dan Cermak,gesellschaft,1,Unknown
Dana Mattioli,nzz-am-sonntag,1,Unknown
Daniel Böhm,international,90,Unknown
Daniel Di Falco,wissenschaft,1,Redaktion
Daniel Eckmann,meinung,2,Unknown
Daniel Fasnacht,meinung,1,Unknown
Daniel Foppa,nzz-am-sonntag,4,"Stellvertreter, Mitglieder Chefredaktion, Schweiz und Debatte"
Daniel Friedli,schweiz,17,Schweiz und Debatte
Daniel Fritzsche,zuerich,43,Zürich
Daniel Germann,sport,111,Sport
Daniel Gerny,schweiz,87,Schweiz
Daniel Haas,feuilleton,19,Unknown
Daniel Heller,meinung,1,Unknown
Daniel Imwinkelried,wirtschaft,52,Unknown
Daniel Janett,meinung,1,Unknown
Daniel Koch,feuilleton,2,Unknown
Daniel Lorenz,meinung,1,Unknown
Daniel Rickenbacher,international,6,Unknown
Daniel Röttele,wissenschaft,3,Unknown
Daniel S. Aegerter,meinung,1,Unknown
Daniel Steinvorth,international,104,Unknown
Daniel Theweleit,sport,2,Unknown
Daniel Zuberbühler,meinung,1,Unknown
Daniela Kuhn,nzz-am-sonntag,1,Unknown
Daniela Prugger,international,3,Unknown
Daniela Tan,feuilleton,5,Unknown
Daniele Muscionico,feuilleton,4,Unknown
Danijel Beljan,Unspecified,2,Unknown
Dario Veréb,fotografie,3,Bildredaktion
David Allemann,meinung,1,Unknown
David Axe,international,2,Unknown
David Bach,meinung,2,Unknown
David Luhnow,international,1,Unknown
David Signer,international,74,Unknown
David Stadelmann,meinung,2,Unknown
David Vogel,Unspecified,31,Podcast
David Vonplon,schweiz,49,Schweiz
Davide Coppo,feuilleton,1,Unknown
Deborah Stoffel,sport,4,Unknown
Den Haag,international,1,Unknown
Denise Bucher,feuilleton,49,Kultur
Denise Laufer,report-und-debatte,1,Unknown
Dennis Frasch,nzz-am-sonntag,6,International
Dieter Bachmann,wirtschaft,74,Wirtschaft
Dieter Borchmeyer,feuilleton,5,Unknown
Dietmar Hansch,feuilleton,1,Unknown
Dietrich Murswiek,meinung,1,Unknown
Dima Wannous,feuilleton,3,Unknown
Dina Litovsky,wirtschaft,1,Unknown
Dirk Meyer,meinung,1,Unknown
Dmitri Durnjew,international,1,Unknown
Dmitri Gudkow,meinung,1,Unknown
Domenico Blass,reisen,1,Unknown
Dominic Nahr,international,21,Fotografen
Dominic Nahr Porsel,schweiz,1,Unknown
Dominic Steinmann,schweiz,1,Unknown
Dominic Wirth,sport,45,Sport
Dominik Feldges,wirtschaft,116,Wirtschaft
Dominik Pietzcker,feuilleton,1,Unknown
Dominik Schottner,Unspecified,8,Unknown
Dominique Burckhardt,international,2,International
Dominique Ursprung,meinung,1,Unknown
Dorothea Walchshäusl,feuilleton,9,Unknown
Dzvinka Pinchuk,international,1,Unknown
Dörte Welti,mobilitaet,3,Unknown
Eberhard Krummheuer,mobilitaet,7,Unknown
Eckhard Jesse,meinung,1,Unknown
Eduard Kaeser,meinung,5,Unknown
Eduard Kiener,meinung,1,Unknown
Eduardo Halfon,feuilleton,1,Unknown
Edward Luttwak,meinung,2,Unknown
Eflamm Mordrelle,finanzen,56,Wirtschaft
Ehrenzeller Keystone,schweiz,1,Unknown
Eike Hoppmann,Unspecified,13,Visuals & Tech
Ekkehard Kraft,meinung,3,Unknown
Elena Oberholzer,international,39,Nachrichten
Elena Panagiotidis,panorama,33,Nachrichten
Eleonore Büning,feuilleton,11,Unknown
Eliane Perret,meinung,1,Unknown
Eliot A. Cohen,meinung,1,Unknown
Elisa Malinverni,sport,3,Unknown
Elisabeth Michel-Alder,meinung,1,Unknown
Elizabeth Bick,wirtschaft,1,Unknown
Elke Bodderas,international,11,Unknown
Elmar Brümmer,sport,59,Unknown
Elmar Wagner,sport,1,Unknown
Emil Eichinger,wissenschaft,1,Unknown
Enas Tantesh,international,2,Unknown
Ennio Leanza,schweiz,1,Unknown
Eric Facon,feuilleton,2,Unknown
Eric Gujer,meinung,24,Chefredaktion
Eric Matt,wirtschaft,10,Unknown
Eric Niiler,international,1,Unknown
Erich Aschwanden,schweiz,67,Schweiz
Erich Herzog,report-und-debatte,1,Unknown
Erika Burri,international,18,Unknown
Ernst Baltensperger,meinung,1,Unknown
Ernst K. Ruf,meinung,1,Unknown
Ernst Piper,feuilleton,1,Unknown
Ernst Stocker,meinung,1,Unknown
Esther Straub,feuilleton,1,Unknown
Esther Widmann,wissenschaft,20,Wissenschaft
Esthy Baumann-Rüdiger,gesellschaft,14,Wochenende / Gesellschaft
Esthy Baumann-Rüdiger<br>,gesellschaft,1,Wochenende / Gesellschaft
Eva Breitenstein,sport,90,Sport
Eva Clausen,feuilleton,1,Unknown
Eva Hirschi,schweiz,1,Unknown
Eva Maria Belser,meinung,1,Unknown
Eva Mell,wissenschaft,33,Wissenschaft
Eva Wolfangel,folio,1,Unknown
Eveline Geiser,wissenschaft,6,Unknown
Evelyne Schmid,meinung,1,Unknown
Ewan Morrison,meinung,1,Unknown
Fabian Baumgartner,zuerich,77,Zürich
Fabian Hoberg,mobilitaet,18,Unknown
Fabian Kretschmer,nzz-am-sonntag,1,Unknown
Fabian Ruch,sport,48,Unknown
Fabian Schäfer,schweiz,128,Bundeshaus
Fabio Regazzi,meinung,1,Unknown
Fabrice Obrist,finanzen,1,Unknown
Fatina Keilani,international,33,Unknown
Federico Mazzola,meinung,1,Unknown
Felicitas Witte,sport,5,Unknown
Felix Ackermann,feuilleton,2,Unknown
Felix Adler,schweiz,1,Unknown
Felix Diergarten,feuilleton,1,Unknown
Felix Heiduk,meinung,1,Unknown
Felix Lill,sport,4,Unknown
Felix Schmitt,sport,1,Unknown
Felix Schraner,meinung,1,Unknown
Filip Jirouš,meinung,1,Unknown
Fleur Bouron,international,1,Unknown
Florentin Erb,Unspecified,10,Video / Social Media
Florian Bissig,feuilleton,3,Unknown
Florian Coulmas,feuilleton,3,Unknown
Florian Haupt,sport,63,Unknown
Florian Kalotay,panorama,1,Unknown
Florian Keisinger,feuilleton,3,Unknown
Florian Schoop,gesellschaft,16,Wochenende / Gesellschaft
Florian Seliger,Unspecified,9,Visuals & Tech
Florian Spring,sport,1,Unknown
Florian Sturm,wissenschaft,1,Unknown
Florian Weber,feuilleton,1,Unknown
Flurin Clalüna,folio,7,Redaktion
Forrest Rogers,Unspecified,7,Visuals & Tech
Francesca Prader,zuerich,66,Zürich
Francesco Ciccolella,wissenschaft,1,Unknown
Franco Gervasi,Unspecified,1,Visuals & Tech
Frank Bodin,feuilleton,1,Unknown
Frank Heer,feuilleton,43,Kultur
Frank Lübberding,feuilleton,1,Unknown
Frank Scheffold,meinung,1,Unknown
Frank Schäfer,feuilleton,4,Unknown
Frank von Niederhäusern,themen-dossiers,1,Unknown
Frankfurt Forst,international,1,Unknown
Franz Haas,feuilleton,7,Unknown
Franz Schuh,feuilleton,1,Unknown
Franz Zelger,feuilleton,3,Unknown
Franziska Herrmann,gesellschaft,1,Unknown
Frederik Jötten,wissenschaft,3,Unknown
Frederik Tillitz,international,5,Unknown
Fridolin Marty,meinung,1,Unknown
Friedrich L. Sell,meinung,1,Unknown
Gabriele Detterer,feuilleton,1,Unknown
Gais Karin Hofer,sport,1,Unknown
Georg Humbel,schweiz,48,Schweiz und Debatte
Georg Häsler,pro,42,NZZ Pro
Georg Junge,meinung,1,Unknown
Georg Pfleiderer,meinung,1,Unknown
Georg Renner,international,2,Unknown
Georg Rich,meinung,1,Unknown
Georg Rüschemeyer,wissenschaft,19,Wissenschaft
George Sheldon,meinung,1,Unknown
Gerald Ehegartner,meinung,2,Unknown
Gerhard Bläske,wirtschaft,10,Unknown
Gerhard Lob,schweiz,7,Unknown
Gerhard Mack,feuilleton,18,Unknown
Gerhard Schwarz,international,1,Unknown
Gerlinde Groitl,meinung,1,Unknown
Gernot Blümel,meinung,1,Unknown
Gian Ehrenzeller Keystone,schweiz,1,Unknown
Gilles Steinmann,international,11,Bildredaktion
Gina Bachmann,schweiz,23,Schweiz und Debatte
Gina Fischli,feuilleton,1,Unknown
Gioia da Silva,technologie,30,Wissenschaft
Giorgio Scherrer,zuerich,61,Zürich
Giovanni Capriotti,international,1,Unknown
Giovanni Fantacci,wissenschaft,1,Unknown
Gisela Dachs,international,6,Unknown
Giuseppe Gracia,feuilleton,6,Unknown
Glarus Gian,schweiz,1,Unknown
Gordana Mijuk,international,12,International
Gregory Gilbert-Lodge,folio,1,Unknown
Guido Kalberer,feuilleton,9,Unknown
Guido Schätti,wirtschaft,29,Wirtschaft
Guido Steinberg,meinung,1,Unknown
Guillaume Ptak,international,3,Unknown
Gunther Schnabl,meinung,2,Unknown
Guy Peterson,international,1,Unknown
Gwendolin Schönfeld,wissenschaft,1,Unknown
Gérald Kurth,schweiz,10,Unknown
Gülistan Gürbey,meinung,1,Unknown
Günther Baechler,meinung,1,Unknown
Günther Meier,schweiz,12,Unknown
Halyna Petrosanyak,feuilleton,1,Unknown
Hamed Abdel-Samad,feuilleton,2,Unknown
Hanna Ender,Unspecified,6,Unknown
Hannes Boos,schweiz,3,Unknown
Hans Christoph Buch,meinung,1,Unknown
Hans Gutbrod,meinung,1,Unknown
Hans Kissling,meinung,1,Unknown
Hans Monath,international,1,Unknown
Hans Stalder,meinung,1,Unknown
Hans Ten Doornkaat,feuilleton,1,Unknown
Hans Ulrich Gumbrecht,feuilleton,1,Unknown
Hans Widmer,meinung,1,Unknown
Hans ten Doornkaat,feuilleton,2,Unknown
Hans-Christof Kraus,meinung,1,Unknown
Hanspeter Amstutz,meinung,2,Unknown
Hanspeter Künzler,feuilleton,6,Unknown
Hansueli Schöchli,wirtschaft,105,Wirtschaft
Harald Jähner,feuilleton,1,Unknown
Harald Krieg,international,2,Unknown
Hassan Bilal,international,1,Unknown
Heba Khamis,international,2,Unknown
Heidi Diehl,reisen,2,Unknown
Heinz Buhofer,meinung,1,Unknown
Heinz Theisen,meinung,1,Unknown
Helge Bendl,reisen,1,Unknown
Helmut Stalder,feuilleton,1,Unknown
Helsinki Roland Shaw,international,1,Unknown
