Author,Resort,Count,Role,cluster
Bangkok,international,1,Unknown,5
Barbara Barkhausen,international,5,Unknown,5
Barbara Klingbacher,folio,8,Redaktion,9
Barnaby Skinner,wirtschaft,1,Chefredaktion,3
Beat Balzli,nzz-am-sonntag,11,Chefredaktor,3
Beat Bürgenmeier,meinung,1,Unknown,7
Beat Kappeler,meinung,2,Unknown,3
Beat Kissling,feuilleton,1,Unknown,9
Beat Schweizer,schweiz,1,Unknown,7
Beat Stauffer,meinung,1,Unknown,7
Beatrice Achterberg,international,57,Redaktion Deutschland,1
Beatrice Bösiger,wirtschaft,74,Wirtschaft,3
Beirut Rewert,international,1,Unknown,2
Beirut Rewert Hoffer,international,2,Unknown,2
Beirut Samuel Misteli,international,2,Unknown,2
Beit Lahiya,international,1,Unknown,2
Benedict Neff,meinung,18,International,2
Benedikt Koller,sport,30,Sport,6
Benjamin Steffen,sport,1,Unknown,6
Benjamin Triebe,wirtschaft,73,Wirtschaft,3
Bernadette Conrad,feuilleton,1,Unknown,1
Bernd Noack,feuilleton,19,Unknown,0
Bernd Roeck,pro,1,Unknown,4
Bernhard Lauterburg,schweiz,1,Unknown,3
Bertram Job,sport,9,Unknown,6
Bettina Rühl,international,11,Unknown,5
Birgit Püve,international,1,Unknown,1
Birgit Schmid,feuilleton,61,Feuilleton,1
Birrer Dominic Wirth,sport,1,Unknown,6
Birte Mensing,international,5,Unknown,5
Björn Hayer,feuilleton,2,Unknown,1
Björn Heissenberger,meinung,1,Unknown,3
Botakoz Kassymbekova,meinung,1,Unknown,2
Brigitte Wenger,sport,9,Unknown,5
Bruno S. Frey,meinung,3,Unknown,11
Béatrice Acklin Zimmermann,meinung,1,Unknown,2
Bülent Mumay,meinung,1,Unknown,2
Carl Baudenbacher,meinung,1,Unknown,3
Carl Bossard,meinung,1,Unknown,7
Carlo Mariani,panorama,17,Unknown,9
Carlott Bru,wissenschaft,1,Unknown,11
Carole Koch,nzz-am-sonntag-magazin,3,Magazin / Bellevue / Z,9
Carolina Drüten,international,8,Unknown,2
Caroline Dettling,Unspecified,1,Unknown,3
Carolyn Kissane,meinung,1,Unknown,7
Catalin Dorian Florescu,zuerich,1,Unknown,12
Catherine Bosley,pro,8,Unknown,3
Chaim Noll,feuilleton,4,Unknown,2
Chanchal Biswas,wirtschaft,3,Wirtschaft,3
Charles Ferguson,meinung,1,Unknown,7
Charlotte Theile,nzz-am-sonntag-magazin,1,Unknown,0
Chelsey Dulaney,international,1,Unknown,7
Chip Cutter,wirtschaft,1,Unknown,3
Chrisa Wilkens,wissenschaft,1,Unknown,9
Christian Bidermann,meinung,1,Unknown,3
Christian Bretscher,meinung,1,Unknown,3
Christian Chladny,report-und-debatte,1,Unknown,7
Christian Gasser,feuilleton,5,Unknown,1
Christian J. Meier,wissenschaft,2,Unknown,3
Christian Koller,nzz-am-sonntag,1,Unknown,1
Christian Merz,feuilleton,1,Unknown,3
Christian Osthold,meinung,2,Unknown,0
Christian Putsch,international,4,Unknown,5
Christian R. Ulbrich,meinung,1,Unknown,11
Christian Schreiber,reisen,2,Unknown,9
Christian Schwägerl,wissenschaft,1,Unknown,11
Christian Speicher,wissenschaft,43,Wissenschaft,2
Christian Weisflog,international,166,Unknown,2
Christian Weymayr,wissenschaft,2,Unknown,11
Christian Wildhagen,feuilleton,49,Feuilleton,0
