Author,Resort,Count
Anne Lenk,feuilleton,1
Anne Mette,meinung,1
Annegret Erhard,feuilleton,1
Annegret Mathari,schweiz,12
Annegret Mathari,wirtschaft,1
Annette Schär,zuerich,1
Annick Ramp,zuerich,3
Annick Ramp,gesellschaft,2
Annick Ramp,schweiz,1
Anton Beck,feuilleton,3
Anton Vester,panorama,1
Antoni Lallican,international,1
Antonia Moser,Unspecified,35
Antonio Fumagalli,international,84
Antonio Fumagalli,schweiz,7
Antonio Fumagalli,wirtschaft,4
Antonio Fumagalli,meinung,3
Aparna Nori,international,1
Arlette Bashizi,international,1
Armando Meier,meinung,1
Armin Fuhrer,feuilleton,1
Armin Scharf,mobilitaet,2
Armina Galijas,feuilleton,1
Armina Galijaš,meinung,1
Arndt Peltner,international,2
Arne Gottschalck,finanzen,10
Arnon Grünberg,feuilleton,4
Arthur Krön,meinung,1
Arthur Larie,international,1
Arthur Larie,fotografie,1
Arthur Loepfe,meinung,1
Asami Terajima,international,1
Astrid Epiney,meinung,1
Atul Loke,international,1
Aufgezeichnet A. Wenger,international,1
Balz Bruppacher,schweiz,10
Balz Bruppacher,wirtschaft,5
Bangkok,international,1
Barbara Barkhausen,international,5
Barbara Barkhausen,wirtschaft,4
Barbara Barkhausen,panorama,2
Barbara Barkhausen,feuilleton,1
Barbara Barkhausen,schweiz,1
Barbara Barkhausen,wissenschaft,1
Barbara Klingbacher,folio,8
Barbara Klingbacher,gesellschaft,3
Barbara Staehelin,meinung,1
Barnaby Skinner,wirtschaft,1
Barnaby Skinner,meinung,1
Beat Balzli,nzz-am-sonntag,11
Beat Balzli,report-und-debatte,6
Beat Balzli,wirtschaft,5
Beat Balzli,meinung,1
Beat Balzli,schweiz,1
Beat Bürgenmeier,meinung,1
Beat Kappeler,meinung,2
Beat Kissling,feuilleton,1
Beat Schweizer,schweiz,1
Beat Stauffer,meinung,1
Beat Stauffer,schweiz,1
Beatrice Achterberg,international,57
Beatrice Achterberg,der-andere-blick,17
Beatrice Achterberg,meinung,4
Beatrice Achterberg,Unspecified,2
Beatrice Achterberg,feuilleton,2
Beatrice Achterberg,kompakt-erklaert,1
Beatrice Bösiger,wirtschaft,74
Beatrice Bösiger,finanzen,14
Beatrice Bösiger,meinung,5
Beatrice Bösiger,schweiz,1
Beirut Rewert,international,1
Beirut Rewert Hoffer,international,2
Beirut Samuel Misteli,international,2
Beit Lahiya,international,1
Benedict Neff,meinung,18
Benedict Neff,international,7
Benedikt Koller,sport,30
